title,budget,revenue,profit
Crazy Heart,7000000,47405566,40405566
The Ninth Gate,38000000,58401898,20401898
Doom,60000000,58072119,-1927881
Bridget Jones's Diary,25000000,281929795,256929795
Underdogs,0,0,0
Catch Me If You Can,52000000,352114312,300114312
A.I. Artificial Intelligence,100000000,235926552,135926552
The X Files: I Want to Believe,30000000,68369434,38369434
The Bank Job,20000000,64822796,44822796
Twin Falls Idaho,0,0,0
Agent Cody Banks 2: Destination London,26000000,28818995,2818995
Harry Potter and the Chamber of Secrets,100000000,876688482,776688482
Harry Potter and the Prisoner of Azkaban,130000000,789804554,659804554
Harry Potter and the Goblet of Fire,150000000,895921036,745921036
Pearl Harbor,140000000,449220945,309220945
Eight Legged Freaks,30000000,45867333,15867333
हाउसफुल,0,0,0
Nerve,19000000,85241496,66241496
Finding Forrester,43000000,80049764,37049764
Won't Back Down,0,5310554,5310554
Navy Seals vs. Zombies,0,0,0
The Ballad of Jack and Rose,1500000,712294,-787706
Redemption Road,0,0,0
Diary of a Wimpy Kid: Dog Days,22000000,76196538,54196538
Warm Bodies,35000000,116980662,81980662
Yes,0,0,0
We Bought a Zoo,50000000,120081841,70081841
Nowhere Boy,0,6577779,6577779
The Sixth Sense,40000000,672806292,632806292
12 Rounds,20000000,17280326,-2719674
What Just Happened,25000000,6673422,-18326578
Money Monster,27000000,93282604,66282604
Taken 2,45000000,376141306,331141306
Fun Size,14000000,11417362,-2582638
I Love You Phillip Morris,13000000,20768906,7768906
スチームボーイ,20000000,10864373,-9135627
From Hell,35000000,74558115,39558115
Wreck-It Ralph,165000000,471222889,306222889
Silver Linings Playbook,21000000,236412453,215412453
Captain America: Civil War,250000000,1153296293,903296293
Les Misérables,61000000,441809770,380809770
The Tree of Life,32000000,54674226,22674226
Twilight,37000000,393616788,356616788
Imaginary Heroes,10000000,0,-10000000
Little Miss Sunshine,8000000,100523181,92523181
After Earth,130000000,243843127,113843127
The Out-of-Towners,75000000,29000000,-46000000
The Marine,20000000,22165608,2165608
Assault on Precinct 13,30000000,35294470,5294470
The Judge,50000000,83719388,33719388
Mr. & Mrs. Smith,110000000,478207520,368207520
Our Kind of Traitor,0,9930095,9930095
Dear Frankie,0,1656829,1656829
The Imitation Game,14000000,233555708,219555708
Jagal,1000000,444575,-555425
The Roommate,16000000,52545707,36545707
Certifiably Jonathan,1200000,0,-1200000
A Turtle's Tale: Sammy's Adventures,0,71594792,71594792
The Emperor's Club,0,16318449,16318449
Fear Clinic,1000000,0,-1000000
The Best Exotic Marigold Hotel,10000000,136836156,126836156
Derailed,22000000,57479076,35479076
Fright Night,30000000,41002607,11002607
Shrek 2,150000000,928760770,778760770
The Son of No One,15000000,0,-15000000
Just Like Heaven,58000000,102854431,44854431
Black November,12500000,0,-12500000
Why Did I Get Married?,15000000,55184721,40184721
Moulin Rouge!,52500000,179213434,126713434
The Santa Clause 2,65000000,172842355,107842355
All the Boys Love Mandy Lane,750000,0,-750000
The Guru,0,0,0
What Happens in Vegas,35000000,219375562,184375562
Big Daddy,34200000,234801895,200601895
2046,12000000,19271312,7271312
The Cave,30000000,15007991,-14992009
The Family Stone,19000000,92000000,73000000
Enemy at the Gates,68000000,96976270,28976270
Black Hawk Down,92000000,172989651,80989651
The Help,25000000,216639112,191639112
Finding Neverland,25000000,116766556,91766556
Tsotsi,3000000,9879971,6879971
Planet of the Apes,100000000,362211740,262211740
Mr. Popper's Penguins,55000000,187361754,132361754
Zwartboek,21000000,26768563,5768563
Lovely & Amazing,250000,4186931,3936931
Raising Victor Vargas,800000,2816116,2016116
Two Can Play That Game,13000000,22390000,9390000
The Flintstones in Viva Rock Vegas,83000000,59468275,-23531725
Miss Julie,5500000,5000000,-500000
Buffalo Soldiers,15000000,0,-15000000
The Thomas Crown Affair,48000000,124305181,76305181
