country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chile,,,,,,,,,,,,20.0522312,77.79574048,352.8109866,504.7385412,374.7352742,211.9243022,91.95413256,40.08722463,33.38921901,35.13834053,19.68683271,9.94102693,27.25719467,19.86020566,30.70349891,19.47683792,19.88084572,14.68435125,17.02793673,26.03648114,21.78441243,15.42580647,12.72776695,11.44311964,8.232630341,7.359117818,6.133864644,5.110249545,3.336879175,3.843272957,3.56910053,2.489398167,2.810178757,1.054738714,3.052576214,3.392017337,4.407799384,8.71626873,0.353045178,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.233835531,18.81181794,18.24563836,3.052290121,3.556685652,6.35398134,14.61007864,24.25698972,16.79122517,8.313160289,2.786465055,-0.773186012,-1.401472683,0.347811227,0.719125609,-0.731970902,1.127603487,3.824637431,1.776414077,1.649430995,4.816767674,5.92525137,-0.728165251,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895
Colombia,5.814076282,8.283190456,4.697093951,26.35543553,17.07243522,7.590683669,16.72816827,8.328191364,7.447538783,6.98166308,6.908622758,12.05673759,12.02531646,22.59887006,22.58064516,25.18796992,18.91891892,34.09090909,17.51412429,24.19871795,26.58064516,27.52293578,24.70023981,19.48717949,16.36266094,23.97418165,18.85459279,23.31038798,28.14006597,25.86138614,29.13782253,30.34844055,27.0305636,22.44132146,22.84718466,20.8971286,20.79708679,18.46256908,18.68125654,10.87339782,9.222570802,7.969702931,6.351925074,7.130741686,5.901261815,5.051420287,4.292450118,5.545141282,6.998550403,4.201044769,2.271183264,3.417589591,3.167325603,2.018098479,2.897818744,4.990234275,7.514293228,4.312141032,3.240234138,3.525492736,2.524620535
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08650007,20.81302954,10.03942984,8.990523615,8.758774729,8.596156667,10.69836553,2.135448444,3.775388292,4.66267557,1.90298097,0.118739206,2.760107817,1.857097891,2.533992583,2.853124372,6.358663802,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285
Denmark,1.255230126,3.451628586,7.377819548,6.105032823,3.092783505,5.449999999,7.064959697,8.207853558,8.005207104,3.487919244,6.514841417,5.869869591,6.562360903,9.30338298,15.27520622,9.605612075,9.010290836,10.92223781,10.21365457,9.611050379,12.30532408,11.76738743,10.12082568,6.908228812,6.29077936,4.678751452,3.678184119,4.019993457,4.53513301,4.772723424,2.641603064,2.395153317,2.096044429,1.25785668,1.992014638,2.083608424,2.126298023,2.182166779,1.84565122,2.497795444,2.903282032,2.337870003,2.424436612,2.075078206,1.154356931,1.817814583,1.924221385,1.693265862,3.416267943,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974
Dominican Republic,-3.5621918,-3.900000001,9.157127992,8.579599619,2.107111501,-1.891659501,0.262927257,1.238344989,0.035976399,0.956628066,3.816666666,3.580028897,8.640731556,15.07953492,13.14076737,14.50172574,7.765550239,12.85352751,3.477850342,9.173805134,16.75313569,7.514638907,7.646243066,5.628623294,20.15167811,45.33617555,7.638972666,13.55072378,43.86383235,40.65791612,50.46247924,47.07915741,4.259026389,5.250338807,8.260767986,12.53595946,5.39929385,8.296567548,4.831665586,6.470541868,7.724135662,8.883068488,5.223367698,27.44971274,51.46085983,4.190202605,7.572805239,6.143566552,10.6446211,1.442151318,6.329932201,5.796714669,3.694549458,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031795
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.462561711,7.333021952,6.469135802,6.212678645,4.526401585,5.649908939,4.6277666,5.52480986,3.727657602,4.276250938,1.741052144,1.591969175,2.625816304,2.32033006,1.804349946,3.23751394,3.037023326,3.936162599,3.449432046,8.342086349,1.455239248,2.928760693,4.718417047,2.776124472,2.449888641,2.510876333,0.724470135,1.253698801,1.671516388,2.184516735,1.619631902,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.620668359,8.585477108,5.818181818,7.313482593,5.608028434,8.614831536,4.290728517,2.158518106,3.838284639,3.225083615,3.125444736,4.229497702,5.444812131,4.866320488,4.816767674,10.44698751,4.219030521,3.534912392,5.159004977,3.014899503,2.621050017,3.142990509,0.724470135,1.596914927,2.853187726,2.394464348,2.621399391,
Egypt,0.332829047,0.693606755,-3.003076588,0.746645708,3.660982949,14.83900446,9.036440658,0.701897484,-1.675759425,3.409820282,3.762898596,3.140421714,2.102363346,5.112184039,10.02431775,9.669695482,10.31741589,12.73216279,11.07810038,9.904360512,20.81922493,10.31728422,14.82300885,16.07987388,17.03636638,12.10675606,23.86428982,19.69359331,17.66348615,21.26186709,16.75637471,19.74854482,13.63742417,12.08979229,8.154231286,15.7422305,7.187103697,4.625605788,3.872575464,3.079499126,2.683805353,2.269757205,2.73723855,4.507776363,11.27061933,4.869396969,7.644526445,9.318969058,18.31683168,11.76349544,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289
Finland,1.53661156,2.103561662,2.843280086,2.876322462,3.387662311,3.908026394,3.533058578,3.18331504,2.764864473,2.691994586,4.639353444,5.016319277,5.878446818,7.689289918,12.67788775,10.21748053,9.068609811,9.494554672,7.71114118,8.976412347,13.51756058,11.93566298,9.738938336,8.771146561,7.859022506,5.613298527,3.752611717,3.654445835,3.982199663,5.516277402,5.479331845,5.934211113,6.510219531,5.818973307,5.069426738,4.550224344,3.78290876,3.358711182,2.494135066,2.233763065,3.15097385,3.48190097,2.444879902,2.095235291,2.325789554,2.523928987,2.720047505,2.60773342,4.211796827,0.9293198,1.665502017,3.288014272,2.630127758,1.200138893,0.190943072,-0.054214713,0.166009884,1.469301996,1.775780093,1.636291313,0.50668989
France,4.139935755,2.400461045,5.331280071,4.999152898,3.211191703,2.703104559,2.602000766,2.791777094,4.543204864,6.045962842,5.299641246,5.397518656,6.063003097,7.380601064,13.64931747,11.68592725,9.625495782,9.494554672,9.250558467,10.64673417,13.56257885,13.31440557,11.97847195,9.459548472,7.673802622,5.831099739,2.538525918,3.288898214,2.700815275,3.498302207,3.19428338,3.213407324,2.363760463,2.104462771,1.655515329,1.796481421,1.982883651,1.20394294,0.651126868,0.537141639,1.675959887,1.634780795,1.923412287,2.098472191,2.142089646,1.745869364,1.675124496,1.48799806,2.812861949,0.087620478,1.531122704,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.7171522,39.3575,7.087617629,3.566807813,19.19267582,4.063962014,4.646044421,5.5878373,0.837734532,5.656326362,8.247090431,9.160965084,9.244897456,9.999487616,1.727514611,7.110178975,8.542933333,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,5.20246489
Germany,1.53661156,2.293675796,2.843280086,2.966960863,2.335728095,3.242329385,3.533058578,1.796045507,1.470304392,1.912663946,3.450241667,5.240974171,5.484936719,7.032025724,6.986432425,5.910328845,4.246634608,3.734168424,2.718690536,4.043622006,5.441056191,6.34424092,5.241047126,3.293414603,2.405795069,2.066230732,-0.129412805,0.24990616,1.274123972,2.780559807,2.696471378,4.047036816,5.056979322,4.474575055,2.693057381,1.706160524,1.449726473,1.939369425,0.911185301,0.585433144,1.440268187,1.983856936,1.420805605,1.034227766,1.665733409,1.546909652,1.577428259,2.298341797,2.628381749,0.31273763,1.103809161,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015,0.50668989
Greece,1.47783379,2.103561662,-0.475436213,3.184716045,0.617284452,3.220861496,4.903408334,1.841330313,0.139057819,2.638886495,2.841681991,3.28947824,4.331215999,15.38463516,26.56083438,13.62876803,13.02429447,12.36977333,12.57243712,19.09417785,24.67589123,24.50606684,20.99108482,20.17948325,18.45685214,19.31465181,23.01544655,16.3968916,13.52883553,13.65556787,20.43349964,19.45584256,15.87706538,14.41127089,10.87407898,8.934511217,8.194548902,5.536006784,4.766221864,2.636637863,3.15118063,3.37396699,3.629358946,3.530651885,2.898848959,3.54507354,3.19594393,2.895001475,4.152797447,1.210084518,4.712972862,3.329864062,1.501527961,-0.922168807,-1.311210501,-1.736036796,-0.825651782,1.121235477,0.625629147,0.252978044,-1.247951877
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,10.97046414,9.885931559,8.650519031,3.503184713,3.384615385,5.654761905,7.887323944,10.18276762,10.42654028,11.15879828,9.652509653,8.802816901,8.737864078,9.077380952,6.275579809,5.776636714,2.912621359,-4.009433962,-3.685503686,-1.658163265,-2.983138781,-2.673796791,-0.274725275,0.826446281,2.01411015,2.030117122,4.296490653,0.576519916,2.313705055,5.276561068,4.063860668,4.323570432,4.438502674,2.995391705,2.411135968,1.480582524,2.407717452,2.864927988,0.32543707
Hungary,,,,,,,,,,,,,,3.387978142,1.797040168,3.842159918,5.228398333,3.908895696,4.687142749,8.976412347,9.285857439,4.661413944,6.835805083,7.279895733,8.467854876,6.942345019,5.291661701,8.674314177,15.72354907,17.149152,28.36959965,34.81754291,23.65572078,22.46423461,18.86807499,28.30546837,23.46903019,18.30507441,14.15378965,9.997744093,9.803610169,9.116809117,5.265448216,4.661016949,6.744346796,3.561517114,3.930326038,7.958745165,6.042512539,4.211711712,4.855557957,3.929920989,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354,3.326743858
Iceland,1.988400809,4.711608746,11.01630006,12.92801598,19.24505104,7.317072443,10.68664742,3.320220946,,,,,,,,,,30.31674127,43.74999829,44.4444558,58.52842609,51.7932416,50.24322639,83.95004619,30.85239708,31.99462902,22.12840119,18.29776822,25.72550909,20.75819503,15.51072199,6.808778879,3.947711768,4.042852911,1.552656275,1.651231501,2.260418983,1.815430803,1.65924171,3.231832609,5.136471232,6.405085504,5.197022302,2.055663298,3.158193243,3.987047828,6.687079061,5.051557365,12.69439428,12.00312985,5.396731132,4.001026643,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762,1.760415592,2.682917683,3.013971792,2.847924015
